word,count
klettern,132
hingeschaut,2
runter,2086
gefunden,675
sicherheitsabstand,2
lichtchen,5
huhu,205
jei,35
schick,277
willste,772
telefonieren,190
telefonierst,47
ziehst,194
seinen,271
wen,595
anrufen,164
räumst,93
sonst,2548
hingeh,2
hole,392
sticks,2
fort,124
hörste,46
dreht,194
wou,17
hop,66
putz,55
nase,981
warst,707
backe,70
kuchen,898
batt,1
batte,1
heb,175
wolltest,704
holst,267
mitnehmen,416
oijoi,3
plups,5
deinen,1193
fussballspielen,2
boa,15
neues,464
zusammen,1734
arbeit,228
einschlafen,27
schuhe,877
schuhbändel,1
putzt,79
hinter,487
häuschen,141
fortgeschmissen,1
fremdes,5
hunger,641
tasse,546
trinken,1916
bring,463
hände,531
spuckst,11
lätzchen,67
durst,256
müd,11
schläfst,78
lose,27
tapete,11
lachst,38
geworden,451
stell,669
erzählst,153
undn,1
muede,2
winke,57
ausziehen,423
schönen,341
löckchen,4
siehste,763
batterien,57
gibt,3815
aufgemacht,96
gebraucht,69
kindchen,18
sofa,176
steigen,123
kissen,182
stellst,98
können,4405
klingelingeling,53
ball,1172
frt,1
wohin,639
kriegen,741
werf,106
puppe,1691
julia,23
zärtlich,7
haaren,97
feines,78
püppchen,36
kleidchen,20
sogar,530
unterhose,137
uroma,27
geschenkt,224
guten,675
tag,905
trut,1
fallen,235
lassen,1240
störe,1
armes,56
dabbe,1
mag,600
schmatzt,9
neunten,6
sagt,2488
namen,379
sagen,2267
frau,1746
fütterer,2
vogel,586
affe,376
ente,836
fuchs,179
tick,55
tack,57
krokodil,452
bunte,75
eier,411
fisch,1281
geblättert,9
schaufel,178
pferde,242
zack,172
perlenkette,5
gerissen,10
wievielten,8
kette,189
schläft,622
oa,8
heiss,335
schüttelt,29
irgendwelche,70
stellt,113
eindruck,56
möchte,1723
wissen,556
reaktionen,1
bilder,379
erkennt,27
lieblingsbilder,1
neürdings,9
mam,36
allerdings,96
weiss,574
wofür,123
leer,526
sängerin,4
schlägt,33
buchdeckel,1
zurück,701
negativem,1
ausschluss,1
identifizieren,4
gerne,2403
bis,1476
nimmt,404
werd,83
hingeführt,1
ihren,233
heia,460
kriege,651
führt,51
jet,6
erzählt,531
geschichten,95
vorm,15
spiegel,306
mitkommen,91
hinzugelernt,1
verweigert,2
wegnehmen,106
schaut,96
eindeutig,50
meint,130
einige,97
interessante,34
dinge,156
gehn,97
diarähmchen,1
zentnergewicht,1
aa,188
rauftun,3
erwartet,15
machs,296
singt,119
uppala,24
irgendetwas,38
weinerlichen,1
tonfall,5
ton,65
dreissigste,8
bördchen,2
sondern,432
zieht,281
räumt,46
kästchen,224
ziemlich,1144
unangenehm,69
nun,847
nirgendswo,1
runterschmeissen,8
machts,3
witzigerweise,1
positive,2
antworten,8
z,80
zielt,1
unterstützung,3
regal,91
hochklettern,29
schaffts,1
stehn,39
recht,826
fuchteln,2
istn,2
jury,9
möcht,371
bild,964
schenkst,47
dus,45
schenks,2
schüttelst,6
hochräum,1
gehst,592
winkt,31
kommst,831
schenk,42
gibstes,2
holt,395
mineralwasserflasche,1
übrigens,138
zeit,946
begeisterung,10
solchen,57
töpfchen,101
zusammenstellen,8
längsten,9
alleine,1027
beschätigen,1
übereinander,29
ineinander,21
erstmal,1808
flasche,824
schaun,18
machtn,22
interessiert,92
moment,1082
fürs,14
blättern,78
zunge,160
kalt,908
fragt,99
benennungen,1
wiese,161
tiger,622
hans,69
glück,352
vögel,242
quak,161
papa,3448
werde,339
nachspielen,1
normal,89
ergreifst,1
flucht,2
flugmaschine,1
raucht,29
klopfen,60
ähm,699
anscheinend,44
eigenschaft,2
situation,9
hinfassen,3
ansonsten,32
wortschatz,3
verändert,22
geräusche,89
beispielsweise,3
dieses,668
meisten,84
tiere,1144
wort,596
irgendwie,598
nan,15
nana,15
verwendet,8
aufforderungen,1
situationen,3
zumindest,88
wörter,255
natürlich,1207
brabbeln,2
ä,79
kichererbse,1
draufsteigen,18
fällst,123
bloss,31
freche,84
tonband,165
geklettert,25
triumphiert,2
machstn,10
m,1149
rausbrechen,5
wand,233
hoo,1
se,1786
bord,27
gestiegen,6
passieren,109
mitm,23
gewaltigen,1
salto,3
richtigen,146
schub,5
vorwärts,150
allem,199
denken,119
weggeben,3
fortschritte,8
liegen,753
beim,1130
spricht,139
laute,13
als,2381
letzten,240
aufnahme,273
versteht,176
konseqünter,1
handlungen,3
tägliche,1
umgehen,23
wickeln,67
saubermachen,133
badezimmer,93
abhängig,2
ihrer,79
verschiedenen,26
tierrnamen,1
weiterhin,23
mami,391
unbedingt,176
gezielt,2
seit,92
woche,270
reden,153
zwischendurch,65
vorkommt,12
zusammenhängende,1
irgendwas,415
draufstellen,78
beispiel,549
höckerchen,1
sitzkissen,16
fühlt,50
animiert,2
halten,434
früh,200
besonderes,37
ereignis,7
mamis,14
zähne,337
erwischt,46
hej,122
teppich,288
spucken,39
tempo,20
dose,113
apfel,623
pellen,2
sei,418
aufgeregt,45
schälen,26
neele,88
bewegt,80
dahinter,127
messer,242
wohl,1207
unsere,429
apfelschale,2
apfelstücke,2
neu,348
streng,27
gelassen,93
schale,136
frollein,5
zumachen,484
werfen,147
apfelstück,3
verstecken,176
tju,3
kuckuck,298
karnickel,9
schnute,11
keks,189
leg,706
lege,228
läuft,522
ups,153
löwe,461
geblieben,135
ventilator,2
lampen,38
krümel,42
türstopperknopf,2
bringst,130
schaf,581
gis,15
mother,43
robbt,5
kaffee,792
leider,314
schoß,139
ring,210
gemein,99
beißen,118
butz,15
uih,105
kennst,793
klopf,152
schuh,721
mamas,197
hinstellen,269
mithelfen,102
tüchtig,109
schildkröte,178
rüberläufst,1
frühstück,215
ducki,2
duck,20
geschält,8
darauf,201
dadrauf,71
dickes,58
drehst,81
legen,794
tomma,5
versteckt,298
o,309
bauernhof,300
reinlegen,122
drehen,749
heuballen,36
reintun,438
heuboden,10
opa,784
schütteln,38
spannen,3
doh,2
schmusen,22
schmusi,6
schmusirunde,1
baukran,2
socke,23
klatsch,52
ej,80
zähnen,55
knatschen,9
neuer,41
schule,712
glocke,150
hängt,230
kinder,1638
fingerfiguren,1
abmachen,351
uich,1
geknarrt,2
zugemacht,84
stall,230
reinstellen,70
dreh,346
knöpfe,76
begucken,16
meinen,549
bauch,789
