form,deprel,count
lèves,ROOT,40
journée,ROOT,27
comme,mark,1302
que,advmod,532
attache,ROOT,34
loustic,dep,1
hein,punct,298
un,dep,304
vrai,advcl,20
trouver,xcomp,355
à,mark,3563
bavoir,ROOT,8
tuc,nmod,1
tuc,flat:name,7
chien,dep,41
chien,ROOT,333
tiens,expl:subj,62
suisses,obj,3
finir,xcomp,200
vais,conj,112
donner,xcomp,773
quelque,det,1221
chose,obj,1472
inquiète,ROOT,59
fait,xcomp,86
courses,obj,93
faut,acl:relcl,264
voilà,nsubj,412
avait,ROOT,803
celui,obj,508
avec,ROOT,21
tiroir,ROOT,18
top,ROOT,28
top,dep,5
t',iobj,2078
donne,ROOT,1083
une,ROOT,301
seule,amod,75
une,nmod,28
enlever,fixed,1
il,punct,60
attends,dep,339
propre,ROOT,126
sais,parataxis,67
framboise,ROOT,12
tac,ROOT,49
tac,dep,13
framboises,obj,25
sont,ROOT,2256
ouille,ROOT,229
ouille,nmod,136
lance,acl:relcl,6
sûrement,advmod,59
en,advmod,373
plus,fixed,1017
laisse,ROOT,720
yaourt,obj,71
erreur,ROOT,2
en,expl:comp,1366
sortir,xcomp,404
bon,amod,562
vite,advmod,1018
avoir,xcomp,914
projections,obj,2
frais,ROOT,13
fait,advcl,673
bien,obj,100
lèches,advcl,2
va,advcl,1738
lécher,xcomp,19
pourras,conj,16
lèche,ROOT,24
début,ROOT,36
essai,obj,2
refera,conj,1
semble,ROOT,65
ent,ROOT,1
entraîneras,ccomp,1
entraînera,ROOT,1
avant,mark,301
d',mark,489
être,aux:pass,240
filmé,advcl,4
prochaine,amod,125
fois,ROOT,177
entraînes,ROOT,1
petit,advmod,243
petit,fixed,49
y,obj,42
a,advcl,1145
dessus,dep,138
ce,conj,88
mes,det,462
chaussons,obl:arg,10
bien,fixed,368
ces,det,2282
petites,amod,760
mouchoirs,nmod,7
peut,advmod,1392
être,fixed,1345
boire,xcomp,454
boire,ROOT,81
oui,nsubj,274
tousse,ROOT,41
coup,obj,248
entend,advcl,26
racler,xcomp,6
tiens,nsubj,783
secoues,ROOT,5
fait,ccomp,677
beaucoup,advmod,602
rire,xcomp,27
craches,dep,1
recrache,ROOT,3
as,ccomp,362
possibilités,obl:arg,1
non,dep,333
compote,ROOT,52
ouvrir,xcomp,430
marqué,advcl,4
nom,obj,145
dessus,advmod,160
donné,acl:relcl,67
crèche,obl:mod,73
mangé,ROOT,561
pomme,ROOT,172
poire,conj,3
aimes,ROOT,716
touiller,xcomp,1
miette,ROOT,14
oui,amod,127
étais,cop,287
penser,acl,7
à,obj,51
énervant,ROOT,5
veut,ROOT,995
se,expl:pass,430
décrocher,xcomp,8
forces,ROOT,10
a,xcomp,385
y,advmod,730
vide,ROOT,70
racle,ROOT,4
après,advmod,794
donne,conj,38
miam,dep,371
coupe,ccomp,31
un,case,57
des,case,1708
mets,acl:relcl,143
bouche,obl:arg,317
neuve,amod,4
s',expl:pass,616
gâteaux,ROOT,44
mm,nmod,48
remarques,ROOT,1
compote,obj,60
pu,ccomp,14
tremper,xcomp,16
gâteaux,dep,11
plaît,ROOT,306
manger,ROOT,152
pouvoir,ROOT,15
servir,xcomp,71
ses,det,1060
dents,obl:arg,68
huit,nummod,147
dents,ROOT,82
croquer,xcomp,39
avais,aux:tense,840
blague,obj,24
reste,ccomp,63
miettes,obj,52
pense,ROOT,526
quoi,obj,1591
ouh,nsubj,44
bavoir,obl:mod,3
perdre,xcomp,49
moindre,amod,8
miette,nsubj,2
bonne,ROOT,79
prendre,xcomp,1225
aime,conj,29
ballader,xcomp,2
quatre,nummod,378
pattes,obl:mod,29
ramasser,conj,2
miette,obj,18
parterre,nmod,29
saleté,ROOT,9
retrouve,acl:relcl,6
pense,advcl,115
gant,ROOT,22
toilette,nmod,23
partie,ROOT,142
maman,obl:mod,352
cachée,ROOT,43
mama,ROOT,68
revenue,ROOT,6
maman,xcomp,26
allez,nsubj:pass,2
fait,dep,1487
frotte,dep,5
frotte,ROOT,106
frotte,ccomp,18
frotte,parataxis,1
figure,obl:arg,9
ouais,mark,102
voilà,dep,174
oreille,ROOT,63
nez,obj,349
à,ROOT,66
moins,fixed,211
manges,ccomp,39
obligé,ROOT,70
gant,obj,34
non,vocative,32
bon,conj,248
soucie,ROOT,1
salie,xcomp,2
revoir,obl:mod,66
revoir,obl:arg,93
ciao,obl:mod,1
essayer,xcomp,599
reviendra,ROOT,18
content,ROOT,286
quoi,conj,186
toux,ROOT,5
poule,ROOT,157
côt,obj,2
côt,ROOT,8
côt,nmod,13
poule,dep,16
chien,obj,200
wou,obj,1
wou,nummod,1
vache,ROOT,227
meuh,dep,14
vache,obj,112
meuh,ROOT,53
est,advcl,383
wah,ROOT,165
grue,ROOT,9
hum,ROOT,2549
avion,ROOT,105
wouwou,ROOT,2
wouwou,obj,1
wouwou,nsubj,1
wouwou,dep,1
hum,dep,1257
hoquet,obj,48
chérie,amod,64
ouh,mark,42
air,obj,236
fatiguée,xcomp,9
puce,nsubj,64
julie,dep,68
papa,obj,642
papa,dep,249
julie,obj,147
papa,flat:name,23
papa,xcomp,21
papa,nsubj,583
c',aux:pass,100
toi,obl:arg,798
han,dep,77
julie,ROOT,187
faudrait,ROOT,278
chien,nmod,113
regardé,ROOT,125
magazine,ROOT,7
',nmod,421
ulysse,nmod,67
livre,obl:mod,128
là,appos,120
vient,acl:relcl,109
jeter,xcomp,142
woh,dep,9
woh,fixed,4
calme,ROOT,67
a,dep,631
soif,obj,193
donc,fixed,1035
passe,dep,189
bibi,obj,6
julie,nmod,97
puce,obl:mod,41
gros,obj,52
petit,case,3
euh,dep,1430
besoin,obj,463
beau,amod,338
allo,ROOT,277
allo,dep,41
quelqu',det,258
un,ROOT,897
parle,acl:relcl,26
téléphone,obl:mod,69
frère,ROOT,88
ulysse,ROOT,136
parle,dep,35
allo,det,3
julie,obl:mod,16
canaille,ROOT,29
ronronne,ROOT,3
maman,obj,1085
où,det,231
maman,dep,348
rigoles,ROOT,17
hé,dep,943
bebep,ROOT,1
mets,ccomp,68
debout,xcomp,122
grande,amod,457
grande,advcl,18
ahah,ROOT,51
toutou,ROOT,5
glisses,ROOT,17
pieds,obl:arg,113
puce,nmod,62
kiné,nsubj,2
dit,ROOT,2258
musique,ROOT,109
téléphone,nmod,33
toute,ROOT,58
seule,fixed,223
waw,ROOT,40
toc,nmod,106
bisous,obj,135
chérie,ROOT,58
dois,conj,17
squash,obl:arg,1
aujourd'hui,advmod,551
complètement,advmod,106
oublié,ROOT,236
trois,nummod,732
quart,ROOT,20
heure,nmod,59
dois,ROOT,169
pharmacie,obl:arg,6
temps,ROOT,75
de,fixed,439
suite,fixed,378
zappé,ROOT,2
moi,obj,220
effectivement,ROOT,14
dis,advmod,355
chouette,ROOT,74
puce,dep,40
envoies,ROOT,31
bisou,obj,403
qui,obl:arg,184
mamy,obl:arg,94
mamy,nmod,33
hello,ROOT,20
auras,ROOT,142
arrêter,xcomp,208
quand,mark,3132
veux,advcl,982
rester,xcomp,233
traînes,ROOT,1
parce,parataxis,10
dépêcher,xcomp,19
fasse,ccomp,362
toutes,amod,500
dois,acl:relcl,54
tant,advmod,197
acheter,xcomp,165
fait,obl:mod,741
souper,dep,1
souper,ROOT,2
demain,dep,10
pis,fixed,161
reviens,conj,27
mangerai,ROOT,10
soupe,obj,137
ferai,conj,6
demain,obl:mod,22
demain,advmod,295
pain,obj,222
fermé,conj,8
évidemment,advmod,61
arrive,ROOT,536
hé,ROOT,478
maman,nsubj,1304
avait,aux:tense,644
oublié,acl:relcl,22
ferai,ROOT,27
arriver,xcomp,255
allée,ROOT,119
course,obj,46
téléphone,obl:arg,43
allo,nmod,7
bout,ROOT,227
fil,nmod,27
musique,obj,327
appelles,ROOT,178
qui,xcomp,4
qui,obj,212
hé,mark,15
dis,fixed,22
tiens,advcl,42
envie,obj,571
semble,advcl,10
hou,ROOT,116
hou,dep,163
tu,dep,478
tiens,xcomp,46
marre,obj,38
tenir,xcomp,200
table,obl:arg,460
promener,xcomp,163
table,nmod,66
main,obj,463
téléphone,nsubj,16
ramasser,xcomp,138
tomber,dep,26
décides,ccomp,1
terre,obl:arg,167
reste,ROOT,488
choisis,dep,9
expliques,ROOT,62
tomber,ccomp,3
téléphone,dep,17
tomber,ROOT,134
deux,nummod,1943
fois,nmod,66
donne,advcl,54
donne,dep,118
ne,advmod,3335
inquiète,advcl,44
aie,ROOT,22
oui,expl:subj,34
super,advmod,196
super,ROOT,418
hé,fixed,434
cherches,acl:relcl,147
puce,obj,183
sûr,fixed,206
dis,vocative,16
chips,obj,18
biberon,obj,200
crois,advcl,373
compris,ROOT,330
vas,conj,168
sera,cop,374
mieux,ROOT,289
heure,ROOT,167
biberon,nmod,20
?,fixed,217
préparer,xcomp,144
dis,punct,90
julie,nsubj,143
a,ccomp,1646
faudrait,ccomp,23
puce,ROOT,41
écoute,conj,17
d',advmod,1668
abord,fixed,695
trouve,ccomp,91
gagné,ROOT,125
sont,ccomp,99
haut,obl:arg,152
dans,expl:subj,1
notre,det,143
chambre,obl:mod,205
papa,ROOT,896
papa,nmod,520
hou,fixed,16
bruit,obj,466
après,case,882
papa,obl:mod,367
appeler,xcomp,131
biberon,ccomp,1
fait,fixed,221
trouvé,acl:relcl,118
élastique,ROOT,8
c',case,174
toi,conj,332
yopstata,ROOT,1
youhou,ROOT,26
donc,conj,90
l',expl:comp,73
air,xcomp,75
antibiotique,obj,4
ulysse,nsubj,81
joue,ROOT,511
joue,conj,26
jouez,ROOT,26
tour,ROOT,183
cube,obj,28
cube,dep,2
canaille,flat:name,1
ici,obl:arg,761
prendre,ROOT,40
julie,conj,20
atchoum,ROOT,54
atchoum,nsubj,1
ulysse,conj,6
devant,case,221
cathédrale,obl:mod,1
ho,ROOT,89
ho,dep,136
mon,det,4197
cube,ROOT,13
vrai,ROOT,922
épaules,ROOT,4
épaules,obl:mod,2
ha,dep,131
ha,ROOT,157
bravo,det,12
oui,det,226
grand,amod,1017
garçon,ROOT,261
belles,amod,115
joué,ROOT,190
cubes,obl:arg,21
a,flat:name,4
faites,ROOT,89
deux,obl:arg,81
trois,expl:subj,2
cubes,obj,49
reste,conj,19
ulysse,dep,46
je,iobj,31
paraît,ROOT,60
partage,obj,4
équitable,amod,1
cubes,ROOT,21
ceux,case,40
wah,det,9
ceux,ROOT,121
celui,nmod,64
joue,acl:relcl,60
ulysse,obl:arg,11
toi,iobj,269
joues,conj,7
autres,obl:arg,37
encore,ROOT,934
julie,obl:arg,24
sucette,ROOT,28
qui,nmod,207
ça,punct,45
peux,acl:relcl,385
l',ROOT,27
sucette,dep,3
doudou,nmod,69
ha,det,12
cherches,ROOT,132
doudou,obj,214
sucette,conj,8
sont,acl:relcl,186
sont,advcl,61
chaise,obl:arg,177
poussette,ROOT,33
chaise,obl:mod,44
près,advmod,101
table,dep,29
super,obj,9
